Producing: JOB ID = 0, Burst Time = 29, Remaining Time = 29, Priority = 6 (jobs produced = 1, jobs in buffer = 1)
Producing: JOB ID = 1, Burst Time = 73, Remaining Time = 73, Priority = 5 (jobs produced = 2, jobs in buffer = 2)
Producing: JOB ID = 2, Burst Time = 24, Remaining Time = 24, Priority = 5 (jobs produced = 3, jobs in buffer = 3)
Producing: JOB ID = 3, Burst Time = 56, Remaining Time = 56, Priority = 2 (jobs produced = 4, jobs in buffer = 4)
Producing: JOB ID = 4, Burst Time = 70, Remaining Time = 70, Priority = 1 (jobs produced = 5, jobs in buffer = 5)
Thread 4 removes: JOB ID = 4, Start Time = 0, End Time = 70, Priority: 1 (jobs removed = 1, jobs in buffer = 4)
Producing: JOB ID = 5, Burst Time = 42, Remaining Time = 42, Priority = 7 (jobs produced = 6, jobs in buffer = 5)
Thread 1 removes: JOB ID = 3, Start Time = 0, Remaining Time = 31, Priority: 2 (jobs removed = 1, jobs in buffer = 5)
Thread 3 removes: JOB ID = 3, Re-start Time = 0, Remaining Time = 6, Priority: 2 (jobs removed = 1, jobs in buffer = 5)
Thread 2 removes: JOB ID = 3, Re-start Time = 0, End Time = 6, Priority: 2 (jobs removed = 2, jobs in buffer = 4)
Thread 2 removes: JOB ID = 1, Start Time = 6, End Time = 79, Priority: 5 (jobs removed = 3, jobs in buffer = 3)
Producing: JOB ID = 6, Burst Time = 6, Remaining Time = 6, Priority = 9 (jobs produced = 7, jobs in buffer = 4)
Producing: JOB ID = 7, Burst Time = 96, Remaining Time = 96, Priority = 6 (jobs produced = 8, jobs in buffer = 5)
Producing: JOB ID = 8, Burst Time = 43, Remaining Time = 43, Priority = 6 (jobs produced = 9, jobs in buffer = 6)
Producing: JOB ID = 9, Burst Time = 80, Remaining Time = 80, Priority = 6 (jobs produced = 10, jobs in buffer = 7)
Producing: JOB ID = 10, Burst Time = 99, Remaining Time = 99, Priority = 8 (jobs produced = 11, jobs in buffer = 8)
Producing: JOB ID = 11, Burst Time = 61, Remaining Time = 61, Priority = 9 (jobs produced = 12, jobs in buffer = 9)
Producing: JOB ID = 12, Burst Time = 27, Remaining Time = 27, Priority = 0 (jobs produced = 13, jobs in buffer = 10)
Thread 1 removes: JOB ID = 12, Start Time = 25, End Time = 52, Priority: 0 (jobs removed = 4, jobs in buffer = 9)
Producing: JOB ID = 13, Burst Time = 45, Remaining Time = 45, Priority = 3 (jobs produced = 14, jobs in buffer = 10)
Thread 3 removes: JOB ID = 13, Start Time = 25, End Time = 70, Priority: 3 (jobs removed = 5, jobs in buffer = 9)
Producing: JOB ID = 14, Burst Time = 92, Remaining Time = 92, Priority = 5 (jobs produced = 15, jobs in buffer = 10)
Thread 1 removes: JOB ID = 2, Start Time = 52, End Time = 76, Priority: 5 (jobs removed = 6, jobs in buffer = 9)
Producing: JOB ID = 15, Burst Time = 33, Remaining Time = 33, Priority = 2 (jobs produced = 16, jobs in buffer = 10)
Thread 4 removes: JOB ID = 15, Start Time = 70, End Time = 103, Priority: 2 (jobs removed = 7, jobs in buffer = 9)
Producing: JOB ID = 16, Burst Time = 55, Remaining Time = 55, Priority = 8 (jobs produced = 17, jobs in buffer = 10)
Thread 3 removes: JOB ID = 14, Start Time = 70, Remaining Time = 67, Priority: 5 (jobs removed = 7, jobs in buffer = 10)
Thread 1 removes: JOB ID = 14, Re-start Time = 76, Remaining Time = 42, Priority: 5 (jobs removed = 7, jobs in buffer = 10)
Thread 2 removes: JOB ID = 14, Re-start Time = 79, Remaining Time = 17, Priority: 5 (jobs removed = 7, jobs in buffer = 10)
Thread 3 removes: JOB ID = 14, Re-start Time = 95, End Time = 112, Priority: 5 (jobs removed = 8, jobs in buffer = 9)
Producing: JOB ID = 17, Burst Time = 96, Remaining Time = 96, Priority = 7 (jobs produced = 18, jobs in buffer = 10)
Thread 1 removes: JOB ID = 0, Start Time = 101, Remaining Time = 4, Priority: 6 (jobs removed = 8, jobs in buffer = 10)
Thread 4 removes: JOB ID = 7, Start Time = 103, Remaining Time = 71, Priority: 6 (jobs removed = 8, jobs in buffer = 10)
Thread 2 removes: JOB ID = 8, Start Time = 104, Remaining Time = 18, Priority: 6 (jobs removed = 8, jobs in buffer = 10)
Thread 3 removes: JOB ID = 9, Start Time = 112, Remaining Time = 55, Priority: 6 (jobs removed = 8, jobs in buffer = 10)
Thread 1 removes: JOB ID = 0, Re-start Time = 126, End Time = 130, Priority: 6 (jobs removed = 9, jobs in buffer = 9)
Producing: JOB ID = 18, Burst Time = 74, Remaining Time = 74, Priority = 6 (jobs produced = 19, jobs in buffer = 10)
Thread 4 removes: JOB ID = 7, Re-start Time = 128, Remaining Time = 46, Priority: 6 (jobs removed = 9, jobs in buffer = 10)
Thread 2 removes: JOB ID = 8, Re-start Time = 129, End Time = 147, Priority: 6 (jobs removed = 10, jobs in buffer = 9)
Producing: JOB ID = 19, Burst Time = 14, Remaining Time = 14, Priority = 2 (jobs produced = 20, jobs in buffer = 10)
Thread 1 removes: JOB ID = 19, Start Time = 130, End Time = 144, Priority: 2 (jobs removed = 11, jobs in buffer = 9)
Producing: JOB ID = 20, Burst Time = 52, Remaining Time = 52, Priority = 3 (jobs produced = 21, jobs in buffer = 10)
Thread 3 removes: JOB ID = 20, Start Time = 137, Remaining Time = 27, Priority: 3 (jobs removed = 11, jobs in buffer = 10)
Thread 1 removes: JOB ID = 20, Re-start Time = 144, Remaining Time = 2, Priority: 3 (jobs removed = 11, jobs in buffer = 10)
Thread 2 removes: JOB ID = 20, Re-start Time = 147, End Time = 149, Priority: 3 (jobs removed = 12, jobs in buffer = 9)
Producing: JOB ID = 21, Burst Time = 82, Remaining Time = 82, Priority = 9 (jobs produced = 22, jobs in buffer = 10)
Thread 2 removes: JOB ID = 9, Re-start Time = 149, Remaining Time = 30, Priority: 6 (jobs removed = 12, jobs in buffer = 10)
Thread 4 removes: JOB ID = 18, Start Time = 153, Remaining Time = 49, Priority: 6 (jobs removed = 12, jobs in buffer = 10)
Thread 3 removes: JOB ID = 7, Re-start Time = 162, Remaining Time = 21, Priority: 6 (jobs removed = 12, jobs in buffer = 10)
Thread 1 removes: JOB ID = 9, Re-start Time = 169, Remaining Time = 5, Priority: 6 (jobs removed = 12, jobs in buffer = 10)
Thread 2 removes: JOB ID = 18, Re-start Time = 174, Remaining Time = 24, Priority: 6 (jobs removed = 12, jobs in buffer = 10)
Thread 4 removes: JOB ID = 7, Re-start Time = 178, End Time = 199, Priority: 6 (jobs removed = 13, jobs in buffer = 9)
Producing: JOB ID = 22, Burst Time = 78, Remaining Time = 78, Priority = 7 (jobs produced = 23, jobs in buffer = 10)
Thread 3 removes: JOB ID = 9, Re-start Time = 187, End Time = 192, Priority: 6 (jobs removed = 14, jobs in buffer = 9)
Producing: JOB ID = 23, Burst Time = 60, Remaining Time = 60, Priority = 4 (jobs produced = 24, jobs in buffer = 10)
Thread 3 removes: JOB ID = 23, Start Time = 192, End Time = 252, Priority: 4 (jobs removed = 15, jobs in buffer = 9)
Producing: JOB ID = 24, Burst Time = 30, Remaining Time = 30, Priority = 0 (jobs produced = 25, jobs in buffer = 10)
Thread 1 removes: JOB ID = 24, Start Time = 194, Remaining Time = 5, Priority: 0 (jobs removed = 15, jobs in buffer = 10)
Thread 4 removes: JOB ID = 24, Re-start Time = 199, End Time = 204, Priority: 0 (jobs removed = 16, jobs in buffer = 9)
Producing: JOB ID = 25, Burst Time = 75, Remaining Time = 75, Priority = 6 (jobs produced = 26, jobs in buffer = 10)
Thread 2 removes: JOB ID = 18, Re-start Time = 199, End Time = 223, Priority: 6 (jobs removed = 17, jobs in buffer = 9)
Producing: JOB ID = 26, Burst Time = 47, Remaining Time = 47, Priority = 0 (jobs produced = 27, jobs in buffer = 10)
Thread 4 removes: JOB ID = 26, Start Time = 204, Remaining Time = 22, Priority: 0 (jobs removed = 17, jobs in buffer = 10)
Thread 1 removes: JOB ID = 26, Re-start Time = 219, End Time = 241, Priority: 0 (jobs removed = 18, jobs in buffer = 9)
Producing: JOB ID = 27, Burst Time = 63, Remaining Time = 63, Priority = 3 (jobs produced = 28, jobs in buffer = 10)
Thread 2 removes: JOB ID = 27, Start Time = 223, Remaining Time = 38, Priority: 3 (jobs removed = 18, jobs in buffer = 10)
Thread 4 removes: JOB ID = 27, Re-start Time = 229, Remaining Time = 13, Priority: 3 (jobs removed = 18, jobs in buffer = 10)
Thread 1 removes: JOB ID = 27, Re-start Time = 241, End Time = 254, Priority: 3 (jobs removed = 19, jobs in buffer = 9)
Producing: JOB ID = 28, Burst Time = 51, Remaining Time = 51, Priority = 0 (jobs produced = 29, jobs in buffer = 10)
Thread 2 removes: JOB ID = 28, Start Time = 248, Remaining Time = 26, Priority: 0 (jobs removed = 19, jobs in buffer = 10)
Thread 3 removes: JOB ID = 28, Re-start Time = 252, Remaining Time = 1, Priority: 0 (jobs removed = 19, jobs in buffer = 10)
Thread 4 removes: JOB ID = 28, Re-start Time = 254, End Time = 255, Priority: 0 (jobs removed = 20, jobs in buffer = 9)
Producing: JOB ID = 29, Burst Time = 50, Remaining Time = 50, Priority = 1 (jobs produced = 30, jobs in buffer = 10)
Thread 1 removes: JOB ID = 29, Start Time = 254, Remaining Time = 25, Priority: 1 (jobs removed = 20, jobs in buffer = 10)
Thread 4 removes: JOB ID = 29, Re-start Time = 255, End Time = 280, Priority: 1 (jobs removed = 21, jobs in buffer = 9)
Producing: JOB ID = 30, Burst Time = 16, Remaining Time = 16, Priority = 5 (jobs produced = 31, jobs in buffer = 10)
Thread 2 removes: JOB ID = 30, Start Time = 273, End Time = 289, Priority: 5 (jobs removed = 22, jobs in buffer = 9)
Producing: JOB ID = 31, Burst Time = 60, Remaining Time = 60, Priority = 7 (jobs produced = 32, jobs in buffer = 10)
Thread 3 removes: JOB ID = 25, Start Time = 277, Remaining Time = 50, Priority: 6 (jobs removed = 22, jobs in buffer = 10)
Thread 1 removes: JOB ID = 25, Re-start Time = 279, Remaining Time = 25, Priority: 6 (jobs removed = 22, jobs in buffer = 10)
Thread 4 removes: JOB ID = 25, Re-start Time = 280, End Time = 305, Priority: 6 (jobs removed = 23, jobs in buffer = 9)
Producing: JOB ID = 32, Burst Time = 84, Remaining Time = 84, Priority = 5 (jobs produced = 33, jobs in buffer = 10)
Thread 2 removes: JOB ID = 32, Start Time = 289, Remaining Time = 59, Priority: 5 (jobs removed = 23, jobs in buffer = 10)
Thread 3 removes: JOB ID = 32, Re-start Time = 302, Remaining Time = 34, Priority: 5 (jobs removed = 23, jobs in buffer = 10)
Thread 1 removes: JOB ID = 32, Re-start Time = 304, Remaining Time = 9, Priority: 5 (jobs removed = 23, jobs in buffer = 10)
Thread 4 removes: JOB ID = 32, Re-start Time = 305, End Time = 314, Priority: 5 (jobs removed = 24, jobs in buffer = 9)
Producing: JOB ID = 33, Burst Time = 44, Remaining Time = 44, Priority = 9 (jobs produced = 34, jobs in buffer = 10)
Thread 4 removes: JOB ID = 5, Start Time = 314, Remaining Time = 17, Priority: 7 (jobs removed = 24, jobs in buffer = 10)
Thread 2 removes: JOB ID = 17, Start Time = 314, Remaining Time = 71, Priority: 7 (jobs removed = 24, jobs in buffer = 10)
Thread 3 removes: JOB ID = 22, Start Time = 327, Remaining Time = 53, Priority: 7 (jobs removed = 24, jobs in buffer = 10)
Thread 1 removes: JOB ID = 31, Start Time = 329, Remaining Time = 35, Priority: 7 (jobs removed = 24, jobs in buffer = 10)
Thread 4 removes: JOB ID = 5, Re-start Time = 339, End Time = 356, Priority: 7 (jobs removed = 25, jobs in buffer = 9)
Producing: JOB ID = 34, Burst Time = 5, Remaining Time = 5, Priority = 7 (jobs produced = 35, jobs in buffer = 10)
Thread 2 removes: JOB ID = 17, Re-start Time = 339, Remaining Time = 46, Priority: 7 (jobs removed = 25, jobs in buffer = 10)
Thread 3 removes: JOB ID = 22, Re-start Time = 352, Remaining Time = 28, Priority: 7 (jobs removed = 25, jobs in buffer = 10)
Thread 1 removes: JOB ID = 31, Re-start Time = 354, Remaining Time = 10, Priority: 7 (jobs removed = 25, jobs in buffer = 10)
Thread 4 removes: JOB ID = 34, Start Time = 356, End Time = 361, Priority: 7 (jobs removed = 26, jobs in buffer = 9)
Producing: JOB ID = 35, Burst Time = 1, Remaining Time = 1, Priority = 5 (jobs produced = 36, jobs in buffer = 10)
Thread 4 removes: JOB ID = 35, Start Time = 361, End Time = 362, Priority: 5 (jobs removed = 27, jobs in buffer = 9)
Producing: JOB ID = 36, Burst Time = 10, Remaining Time = 10, Priority = 5 (jobs produced = 37, jobs in buffer = 10)
Thread 4 removes: JOB ID = 36, Start Time = 362, End Time = 372, Priority: 5 (jobs removed = 28, jobs in buffer = 9)
Producing: JOB ID = 37, Burst Time = 12, Remaining Time = 12, Priority = 7 (jobs produced = 38, jobs in buffer = 10)
